Area da unidade territorial  2016,Estabelecimentos de Saude SUS,Indice de Desenvolvimento Humano Municipal  2010 IDHM 2010,Matricula  Ensino fundamental  2015,Matricula  Ensino medio  2015,Numero de unidades locais,Pessoal ocupado total,PIB per capita a precos correntes  2014,Populacao residente ,Populacao residente  Homens,Populacao residente  Mulheres,Populacao residente alfabetizada,Populacao residente que frequentava creche ou escola ,Populacao residente religiao catolica apostolica romana,Populacao residente religiao espirita,Populacao residente religiao evangelicas,Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes  Rural,Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes  Urbana,Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar por situacao do domicilio  Rural,Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar por situacao do domicilio  Urbana,Cidade
400.010,8,0.700,2349,628,524,3780,18798.37,17048,8761,8287,15165,4227,15014,67,1789,420.00,510.00,1888.46,2128.29,Carmopolis de Minas
2063.315,9,0.741,1224,323,298,1520,25393.69,9471,4867,4604,7881,2525,7245,36,1708,375.00,510.00,1649.33,2457.10,Carneirinho
727.894,4,0.725,553,131,99,504,16037.33,3948,2011,1937,3419,1065,3582,15,272,375.00,477.33,1893.54,1848.97,Carrancas
81.101,2,0.724,480,115,72,468,12125.89,3341,1704,1637,2897,924,2662,44,467,403.33,510.00,1610.26,1844.43,Carvalhopolis
282.254,2,0.646,453,148,93,495,9583.78,4556,2340,2216,3727,1023,4014,21,319,270.00,416.67,1114.36,1850.43,Carvalhos
157.727,1,0.652,311,94,36,386,13341.28,2244,1152,1092,2001,519,1931,-,237,266.67,340.00,1261.04,1357.44,Casa Grande
367.308,2,0.721,340,92,62,336,16935.08,2857,1527,1330,2472,611,2230,26,531,510.00,513.50,2195.40,2073.59,Cascalho Rico
665.802,10,0.704,2332,723,542,2877,15875.17,17412,8800,8612,14599,4552,13121,395,2690,405.00,510.00,1961.30,2232.49,Cassia
491.767,44,0.751,7773,2248,2265,18853,18484.43,69757,34216,35541,61609,20532,46340,2944,15159,382.50,510.00,1055.98,2158.01,Cataguases
240.042,2,0.684,716,214,123,883,87968.85,4846,2389,2457,4247,1554,3864,-,844,300.00,490.00,1260.06,1793.27,Catas Altas
141.622,1,0.600,519,158,48,350,7689.42,3462,1761,1701,2842,999,3344,-,103,218.00,380.83,926.42,1521.38,Catas Altas da Noruega
419.380,5,0.540,1734,275,68,639,6886.12,6708,3363,3345,4614,2168,5689,6,828,145.50,255.00,720.68,1411.16,Catuji
287.812,3,0.621,788,273,62,333,6504.72,5102,2627,2475,3563,1611,4625,14,236,162.00,255.00,925.91,973.86,Catuti
100.483,8,0.743,2689,767,778,4354,12686.74,21705,10526,11179,19097,6106,14593,411,5472,475.00,510.00,1788.48,2980.99,Caxambu
283.211,2,0.678,163,48,19,164,12797.83,1210,628,582,997,323,974,2,173,397.50,400.00,1149.80,1195.24,Cedro do Abaete
204.328,5,0.665,893,252,170,826,9745.93,6772,3301,3471,5233,1657,3339,-,2464,278.00,300.00,1024.92,1580.57,Central de Minas
327.191,7,0.678,1034,221,163,845,13190.18,10266,5251,5015,8547,2504,7692,483,1338,385.71,425.25,1361.91,1512.82,Centralina
152.807,2,0.664,371,86,66,346,10382.78,2792,1410,1382,2336,937,2321,105,275,350.00,480.00,1299.16,1325.34,Chacara
212.674,6,0.655,728,225,97,498,9653.96,5645,2863,2782,4425,1403,3100,17,2049,265.00,470.00,1072.18,1554.15,Chale
830.833,9,0.598,2174,604,149,945,5239.50,15189,7446,7743,10779,5658,13141,-,1353,200.00,329.00,1114.31,1356.02,Chapada do Norte
3255.189,5,0.635,2182,624,155,854,9912.66,10805,5636,5169,8101,3886,9093,17,1305,152.50,318.75,914.93,1455.86,Chapada Gaucha
252.852,3,0.711,416,59,42,304,9005.58,2785,1355,1430,2304,731,1908,33,577,422.00,510.00,1571.38,3366.30,Chiador
153.479,3,0.579,819,212,74,396,5804.99,6547,3347,3200,5430,1585,6323,-,161,203.00,361.67,877.16,1424.55,Cipotanea
227.627,2,0.698,668,164,94,729,20906.21,4542,2370,2172,3908,1125,3466,13,810,510.00,470.00,2073.52,1593.65,Claraval
720.424,7,0.670,1039,312,117,606,7173.74,7775,3963,3812,6076,2092,6462,5,798,321.67,320.00,1052.01,1123.55,Claro dos Pocoes
630.706,21,0.709,3669,1075,884,8810,18009.23,25771,13088,12683,22630,7112,23435,109,1488,465.00,521.00,1635.75,2216.18,Claudio
106.875,4,0.669,1021,301,161,996,10072.32,7054,3547,3507,6041,1837,5887,6,827,311.00,428.00,1283.23,1412.39,Coimbra
348.492,2,0.583,1370,357,124,752,7127.62,9024,4480,4544,6664,2412,7863,21,933,203.00,333.33,904.14,1434.99,Coluna
1041.047,2,0.697,399,83,56,2165,31273.83,2972,1591,1381,2510,634,2382,193,231,510.00,510.00,2208.69,1623.13,Comendador Gomes
654.961,3,0.593,1224,359,78,498,6778.09,8298,4224,4074,5965,2533,7822,-,436,192.00,280.00,804.70,1168.11,Comercinho
352.521,5,0.691,1368,306,208,1069,15352.57,9820,5008,4812,8298,2492,8066,72,1460,382.50,510.00,1939.72,1716.26,Conceicao da Aparecida
273.014,1,0.685,433,176,63,357,9343.63,3954,2063,1891,3420,936,3653,10,253,327.50,382.50,1662.28,1716.73,Conceicao da Barra de Minas
1340.250,15,0.712,3708,928,663,5550,24581.98,23043,12049,10994,19244,5988,15393,1610,3742,433.33,510.00,1628.14,2669.62,Conceicao das Alagoas
102.206,4,0.668,337,84,59,265,12876.98,2749,1468,1281,2368,712,2621,-,111,306.00,388.33,1062.20,1676.40,Conceicao das Pedras
253.935,6,0.676,575,156,50,312,9425.08,4456,2242,2214,3548,971,2842,3,1392,325.00,495.00,1269.42,2051.33,Conceicao de Ipanema
1720.011,8,0.634,3302,762,387,4436,19265.11,17908,9003,8905,13750,5316,14163,78,2531,275.00,361.50,1082.74,1514.19,Conceicao do Mato Dentro
250.306,6,0.700,713,161,133,1606,38189.02,5158,2655,2503,4377,1197,4566,12,441,510.00,504.29,1738.87,1922.63,Conceicao do Para
369.681,7,0.665,1875,461,287,1807,12223.94,12949,6518,6431,10515,3546,10687,21,1846,277.50,392.57,1146.74,1828.96,Conceicao do Rio Verde
180.236,3,0.703,1453,361,436,2448,10840.28,10388,5311,5077,9023,2901,8953,35,1178,390.00,500.00,1288.82,1761.45,Conceicao dos Ouros
1641.993,3,0.621,1269,420,49,319,5712.98,7101,3604,3497,5395,2486,6054,14,938,190.00,289.00,897.02,1234.23,Conego Marinho
42.355,6,0.747,872,325,286,6402,130895.73,5936,2923,3013,5295,1833,4327,45,1228,-,510.00,-,2277.30,Confins
205.125,5,0.712,1270,338,279,1683,13045.71,10468,5405,5063,8917,2235,9169,37,1063,255.00,510.00,1268.28,1908.37,Congonhal
304.067,30,0.753,7109,2182,1459,18040,68635.77,48519,23834,24685,42797,14444,38976,319,7496,283.33,520.00,1057.54,2650.01,Congonhas
405.671,4,0.568,897,213,52,357,6875.62,4943,2482,2461,3448,1529,4298,-,508,177.33,333.33,724.40,1082.46,Congonhas do Norte
618.363,7,0.729,855,199,212,1402,26412.27,6526,3316,3210,5482,1678,4837,847,472,510.00,510.00,2905.12,1987.11,Conquista
370.246,55,0.761,15626,4209,3434,25026,14455.86,116512,56383,60129,104803,32217,94415,2008,15154,340.00,556.67,1380.02,2646.60,Conselheiro Lafaiete
1483.884,9,0.662,2903,811,382,2280,9972.77,22242,10754,11488,17576,6209,13318,8,7001,200.00,382.50,992.35,1470.52,Conselheiro Pena
89.122,2,0.673,214,53,27,170,11600.29,1727,888,839,1428,392,1560,-,152,375.00,375.00,1215.80,1218.87,Consolacao
195.045,170,0.756,73793,23814,18147,220699,40833.12,603442,292798,310644,538566,187258,337237,14069,190707,400.00,586.67,2629.25,2687.96,Contagem
296.163,9,0.694,1206,420,187,884,13497.98,9289,4632,4657,8049,2386,8139,40,965,268.00,427.33,1149.67,1810.81,Coqueiral
2225.216,16,0.642,3692,1152,426,1719,6555.58,26033,13184,12849,19701,7736,20524,16,3667,198.00,255.00,733.67,1218.05,Coracao de Jesus
823.654,5,0.656,908,262,165,687,9360.19,8667,4435,4232,7308,1997,7296,29,1158,347.14,382.50,1241.40,1509.12,Cordisburgo
179.543,3,0.660,424,112,54,324,14319.34,3435,1767,1668,2728,921,2828,-,568,272.67,362.67,1362.83,1562.36,Cordislandia
2525.397,13,0.680,3262,876,584,3318,11364.50,23914,11760,12154,20084,8378,19169,295,3568,255.00,400.00,880.74,1768.59,Corinto
576.274,6,0.626,1428,394,236,757,7311.27,10270,5225,5045,8240,2955,7957,13,1872,255.00,355.00,1139.21,1347.00,Coroaci
3313.116,22,0.708,3551,1203,911,5220,28120.71,27547,13957,13590,23781,6759,23175,480,2960,510.00,510.00,2246.79,2145.66,Coromandel
221.252,31,0.755,12587,3952,2627,20176,13725.15,103694,50035,53659,90112,29413,51164,633,39942,312.50,510.00,1246.34,2259.45,Coronel Fabriciano
815.413,5,0.627,1384,460,130,822,6741.24,9117,4658,4459,6926,2767,7779,-,1016,225.00,240.00,975.57,1082.76,Coronel Murta
131.511,3,0.669,374,82,77,486,11543.56,2983,1516,1467,2514,716,2476,16,393,381.50,510.00,1422.12,1808.65,Coronel Pacheco
140.954,3,0.677,471,150,76,488,11587.51,3301,1645,1656,2899,841,3062,4,179,255.00,503.33,1347.48,2116.35,Coronel Xavier Chaves
657.425,3,0.692,361,73,69,492,22800.29,3391,1789,1602,2921,874,2804,9,473,510.00,510.00,1528.75,1613.18,Corrego Danta
123.651,2,0.692,433,180,44,321,7676.54,3730,1948,1782,3159,830,3106,14,547,400.00,510.00,1161.87,1715.16,Corrego do Bom Jesus
101.112,4,0.678,698,145,244,1813,31383.40,5790,2983,2807,4923,1345,5373,8,350,450.00,480.00,1477.62,1574.29,Corrego Fundo
205.385,3,0.632,450,136,46,363,10324.92,3127,1555,1572,2333,824,2483,-,503,200.00,340.00,898.40,1133.25,Corrego Novo
485.654,2,0.659,634,225,117,572,10172.38,4204,2103,2101,3517,1305,3481,3,394,255.00,275.00,936.90,1178.44,Couto de Magalhaes de Minas
966.202,4,0.585,952,333,52,363,7128.62,6047,3080,2967,3748,2011,4525,-,1023,213.50,250.00,1238.58,903.87,Crisolita
628.434,8,0.692,1328,290,322,2595,11287.14,11286,5765,5521,9502,2458,9223,17,1633,406.67,510.00,1619.94,2580.78,Cristais
840.702,4,0.583,1114,401,103,477,6945.58,5760,2911,2849,4265,2021,3317,-,1686,128.80,190.00,679.38,906.82,Cristalia
132.872,2,0.695,767,196,114,799,16178.17,5007,2516,2491,4369,1393,3933,6,821,382.50,427.50,1639.38,1628.99,Cristiano Otoni
311.330,15,0.668,1178,406,232,1453,14231.87,10210,5224,4986,8719,2414,8535,9,1210,262.00,450.00,1115.98,1722.68,Cristina
167.164,2,0.651,651,185,88,610,10235.74,4757,2430,2327,3864,1048,3927,36,670,315.00,500.00,1014.72,1600.35,Crucilandia
187.715,3,0.696,678,163,93,543,17528.77,3934,2008,1926,3249,1158,3598,-,241,500.00,446.67,4911.95,1799.17,Cruzeiro da Fortaleza
522.419,6,0.695,1860,622,433,2874,11677.84,14591,7245,7346,12322,4130,13421,65,945,260.00,425.00,1051.21,1743.62,Cruzilia
226.750,3,0.627,640,169,63,503,8429.17,4680,2355,2325,3377,1254,1984,-,1748,330.00,270.00,1116.18,1177.42,Cuparaque
570.950,3,0.585,1411,401,103,493,7449.27,6913,3500,3413,4900,2499,5337,25,1067,170.00,205.00,792.25,1062.60,Curral de Dentro
3296.200,36,0.713,10829,3188,2288,17932,15874.71,74219,36141,38078,63466,21186,61003,608,8495,326.88,450.00,985.95,1993.53,Curvelo
310.099,8,0.616,863,313,76,497,8682.90,5211,2551,2660,4307,1518,4406,3,627,241.67,327.50,1030.13,1285.30,Datas
408.473,14,0.669,997,411,154,903,9492.65,7971,4188,3783,6843,1957,6659,5,952,288.33,510.00,1209.61,1972.78,Delfim Moreira
1378.423,7,0.740,999,275,174,1169,18815.56,6830,3550,3280,5800,2241,5279,76,869,500.00,500.00,2540.33,1712.24,Delfinopolis
102.893,1,0.639,1394,379,235,3526,28096.88,8089,4538,3551,6180,2333,5243,314,1050,510.00,450.00,1692.29,1738.22,Delta
213.168,3,0.680,545,186,174,944,10299.75,4768,2408,2360,4126,1219,3442,89,613,0.00,505.00,1592.03,1520.04,Descoberto
377.165,5,0.639,866,213,122,621,7976.07,7002,3571,3431,5712,1543,6033,12,770,255.00,382.50,1005.62,1156.05,Desterro de Entre Rios
142.279,1,0.631,438,123,93,396,10361.38,3015,1546,1469,2398,639,2916,-,75,253.33,407.50,1063.07,1304.75,Desterro do Melo
3891.659,33,0.716,6828,2236,1220,9861,12758.94,45880,22239,23641,38608,15647,37831,684,5729,233.33,433.33,986.30,2307.11,Diamantina
165.091,3,0.601,574,144,28,196,5922.35,3848,1930,1918,3075,1073,3422,7,335,222.00,381.00,837.70,1348.31,Diogo de Vasconcelos
339.375,5,0.702,899,256,215,834,7182.99,8739,4301,4438,7271,2333,5986,6,1875,375.71,405.00,1217.17,1615.94,Dionisio
116.970,3,0.657,459,95,117,438,11041.22,3293,1655,1638,2787,806,2952,8,274,317.50,483.33,1416.61,1427.06,Divinesia
337.776,13,0.605,2913,615,393,1996,9823.86,19133,9681,9452,15223,4874,13005,53,4961,240.67,400.00,1088.27,1557.23,Divino
342.249,7,0.661,631,179,74,384,7436.77,4937,2460,2477,3819,1358,2530,5,1760,300.00,340.00,1280.40,1174.27,Divino das Laranjeiras
133.120,4,0.623,1197,323,87,437,6307.54,7024,3479,3545,5634,2068,5649,2,1115,255.00,302.00,921.11,1325.87,Divinolandia de Minas
708.115,47,0.764,26475,8047,8693,68462,23337.42,213016,103828,109188,191839,57593,172667,4292,26905,450.00,606.67,1503.71,2804.38,Divinopolis
117.812,1,0.608,1151,273,64,851,11331.74,5884,2905,2979,4148,1943,3935,3,1301,220.00,262.50,758.89,1223.85,Divisa Alegre
216.955,5,0.670,838,209,109,666,10875.39,5763,2982,2781,4591,1544,4419,10,982,509.20,447.75,2137.07,1449.48,Divisa Nova
572.926,4,0.609,1314,369,95,707,5958.94,8974,4659,4315,6371,2842,6334,-,2004,240.00,242.00,992.59,1123.55,Divisopolis
817.383,2,0.673,599,161,65,316,10912.76,3814,2022,1792,3046,1229,3274,4,471,375.00,340.00,1288.29,1180.32,Dom Bosco
59.520,7,0.688,754,209,119,609,8831.04,5209,2536,2673,4297,1448,3511,-,1345,250.00,436.67,931.24,1566.13,Dom Cavati
398.822,4,0.622,798,214,56,457,9411.55,4535,2222,2313,3543,1297,3640,4,722,158.00,355.00,898.08,1489.34,Dom Joaquim
194.972,4,0.709,558,198,154,1092,13044.86,5196,2493,2703,4458,1179,4660,45,393,382.50,446.25,1098.44,1594.67,Dom Silverio
113.921,3,0.687,354,133,36,299,8125.28,2994,1544,1450,2563,701,2795,-,197,296.67,426.83,1070.17,1345.40,Dom Vicoso
70.231,3,0.701,763,278,173,997,8601.40,6001,3038,2963,5150,1540,4031,89,1385,382.50,504.00,1247.33,1892.49,Dona Eusebia
124.842,5,0.686,1122,302,326,2945,19524.42,9299,4614,4685,8083,2119,8375,47,735,347.14,483.86,1138.92,1667.51,Dores de Campos
382.124,4,0.636,836,266,74,741,12672.39,5223,2612,2611,4019,1482,3520,15,1456,277.50,423.33,1105.34,1665.60,Dores de Guanhaes
1111.202,9,0.719,1515,515,410,2311,13127.97,13778,6715,7063,11608,3240,11505,172,1502,510.00,510.00,1427.00,1881.78,Dores do Indaia
231.169,6,0.629,617,191,74,363,9639.45,4462,2297,2165,3676,1205,4278,3,132,253.33,400.00,1068.74,1324.15,Dores do Turvo
152.912,2,0.692,206,45,45,317,27718.14,1440,747,693,1254,375,1264,3,133,510.00,430.00,1414.20,1320.51,Doresopolis
312.878,1,0.706,220,61,43,313,23429.26,1841,970,871,1587,442,1389,56,313,510.00,500.00,2594.57,1348.21,Douradoquara
217.461,9,0.645,1129,281,126,546,9901.77,7423,3770,3653,5713,2122,5998,13,1149,275.00,380.00,1314.86,1360.91,Durande
499.537,10,0.685,3566,895,743,4900,17255.78,25220,12489,12731,20806,7585,21644,67,2559,340.00,510.00,1276.54,2035.16,Eloi Mendes
187.058,9,0.644,1582,335,298,1592,9501.82,10280,4960,5320,7899,3204,7717,17,1658,262.50,318.33,1061.58,1401.12,Engenheiro Caldas
608.306,7,0.655,974,331,126,776,8234.84,7122,3618,3504,5527,2100,5743,37,970,266.80,289.00,1146.76,1184.71,Engenheiro Navarro
85.209,5,0.634,789,258,58,387,8027.52,5175,2570,2605,4189,1281,3526,-,1269,255.00,340.00,1118.68,1221.33,Entre Folhas
456.796,13,0.672,1915,578,465,2169,10341.24,14242,7069,7173,12261,3608,12976,65,992,270.00,500.00,1256.98,1966.02,Entre Rios de Minas
357.489,9,0.625,2621,667,424,2578,14095.04,17946,8990,8956,14400,4356,16550,73,948,258.67,470.00,1050.92,1610.79,Ervalia
909.679,24,0.671,10949,2553,984,7199,7926.89,60271,30270,30001,50320,17249,35993,604,17218,423.33,380.00,1621.48,1569.40,Esmeraldas
317.638,28,0.663,3240,804,794,3641,13366.29,22856,11504,11352,18345,6794,14358,521,5561,255.00,510.00,1012.14,1832.78,Espera Feliz
1868.970,13,0.627,4477,1223,678,3507,6879.19,31113,15291,15822,22419,8496,26850,80,3314,200.00,300.00,896.34,1260.25,Espinosa
263.879,3,0.685,571,151,81,677,13275.31,4429,2342,2087,3717,903,4129,4,250,405.00,510.00,1329.01,1741.74,Espirito Santo do Dourado
243.872,5,0.691,1231,334,217,1525,18634.85,10845,5609,5236,9375,2366,10014,11,602,480.00,510.00,1505.64,2049.80,Estiva
131.365,4,0.710,281,63,35,291,9913.86,2470,1233,1237,1962,610,1654,11,548,340.00,510.00,1208.98,2437.58,Estrela Dalva
635.981,4,0.676,329,140,76,379,22490.49,3516,1769,1747,2874,899,3133,3,349,370.00,503.33,1282.29,1640.17,Estrela do Indaia
822.454,7,0.696,779,249,153,1112,53740.27,7446,3899,3547,6182,1981,5479,121,1482,510.00,510.00,1757.00,1866.68,Estrela do Sul
309.395,8,0.675,1210,258,333,2021,11164.24,10540,5318,5222,8752,2432,6530,145,3090,274.00,510.00,981.15,1590.57,Eugenopolis
103.834,2,0.676,558,172,90,550,9513.06,3753,1855,1898,3153,991,2785,3,924,255.00,400.00,1004.31,1378.77,Ewbank da Camara
244.575,18,0.732,4844,1238,1389,17809,144320.88,28599,14414,14185,24990,8685,20266,437,5541,510.00,650.00,2306.04,2356.17,Extrema
86.024,2,0.717,321,65,56,292,12790.21,2350,1180,1170,2006,729,1944,17,298,506.67,510.00,1659.89,1870.78,Fama
165.224,2,0.687,432,107,70,458,12442.55,3376,1714,1662,2679,980,2193,12,825,300.00,510.00,1081.57,1890.96,Faria Lemos
357.622,1,0.606,966,330,91,428,7084.66,5142,2568,2574,3959,1729,4392,-,507,195.00,350.00,795.64,1165.06,Felicio dos Santos
596.215,8,0.583,1037,293,94,609,7000.52,6877,3506,3371,4798,2299,5742,-,984,200.00,255.00,898.66,1042.90,Felisburgo
1554.627,6,0.648,1846,538,324,2117,16626.71,14121,7046,7075,11779,3819,12372,78,1196,340.00,400.00,1194.69,1534.38,Felixlandia
151.875,6,0.646,486,104,51,360,9278.03,3030,1549,1481,2285,830,2096,-,666,300.00,350.00,1054.27,1126.93,Fernandes Tourinho
1088.791,8,0.603,1419,365,180,920,9873.71,10837,5395,5442,8060,3223,9034,3,1532,255.00,393.75,975.06,1673.76,Ferros
357.683,8,0.580,1656,313,169,848,8589.87,10349,5329,5020,8069,3073,7674,-,1871,200.00,340.00,863.82,1192.26,Fervedouro
194.242,7,0.724,1017,750,209,1287,13172.11,6600,3245,3355,5775,1995,5178,50,1031,510.00,540.00,2001.93,2485.44,Florestal
1501.915,36,0.755,7698,2376,2422,19781,18976.54,65128,32137,32991,57736,16332,51772,1008,9722,506.67,510.00,1245.08,2359.20,Formiga
3686.004,3,0.640,1289,326,83,564,18380.28,8177,4283,3894,6074,2746,6503,264,1000,222.00,300.00,1209.28,1542.52,Formoso
218.792,3,0.670,405,137,88,639,22925.47,4098,2101,1997,3489,933,3443,3,483,446.00,510.00,1485.25,1742.18,Fortaleza de Minas
198.709,1,0.696,444,118,80,374,11779.89,2705,1394,1311,2308,849,2192,43,321,382.50,423.33,1408.01,1570.18,Fortuna de Minas
461.481,6,0.622,1096,370,70,511,5368.59,10248,5279,4969,7777,2917,9767,-,463,244.00,333.33,942.40,1315.67,Francisco Badaro
1576.128,6,0.625,721,191,99,513,7780.53,4863,2535,2328,3646,1286,3431,6,997,289.00,265.00,1014.07,1124.75,Francisco Dumont
2747.295,11,0.654,3446,1066,660,2927,11975.23,24912,12942,11970,18491,7231,20025,39,3316,200.00,334.67,863.61,1515.96,Francisco Sa
717.087,4,0.603,878,206,80,610,9596.57,5800,2970,2830,3972,1658,4774,4,812,200.00,316.67,945.71,1197.48,Franciscopolis
626.672,4,0.590,1111,289,69,428,7549.34,5879,2968,2911,3925,1710,4674,10,1046,227.50,317.25,873.37,1169.57,Frei Gaspar
469.557,10,0.648,1377,365,162,847,9283.59,8920,4355,4565,6734,2888,6207,-,2293,289.00,327.50,1027.26,1402.48,Frei Inocencio
167.474,2,0.543,628,130,22,186,6847.23,3329,1688,1641,2476,1014,2964,-,318,155.50,255.00,697.57,1108.74,Frei Lagonegro
199.987,9,0.684,1863,401,356,2079,25410.47,14041,7230,6811,11470,3480,8508,260,3321,510.00,500.00,2454.44,1798.75,Fronteira
320.757,5,0.592,714,173,53,309,6024.18,4687,2389,2298,3108,1325,4176,-,403,200.00,255.00,825.77,910.49,Fronteira dos Vales
762.837,2,0.544,1085,271,69,361,5859.58,5940,3024,2916,3701,1783,5208,-,475,200.00,255.00,806.43,1110.77,Fruta de Leite
2426.965,17,0.730,6824,1826,1765,13789,24408.33,53468,27073,26395,46497,13786,32277,3690,10978,400.00,537.50,1806.21,2346.56,Frutal
199.797,7,0.655,693,184,95,479,10182.61,3855,1958,1897,3091,1159,3033,17,487,255.00,364.29,1033.69,1439.86,Funilandia
720.355,9,0.654,935,247,135,888,10151.99,6951,3405,3546,5322,2025,3590,6,2395,273.00,340.00,1194.43,1440.31,Galileia
1733.203,6,0.650,735,249,55,443,6548.29,5139,2624,2515,3662,1690,4666,2,320,192.67,275.00,775.68,1272.27,Gameleiras
145.861,7,0.679,452,142,32,270,7546.46,2962,1496,1466,2394,823,2615,4,285,255.00,270.00,934.79,1235.85,Glaucilandia
112.443,3,0.647,489,98,68,500,8692.81,3053,1486,1567,2232,738,1742,4,900,300.00,333.33,1032.60,1154.98,Goiabeira
152.039,1,0.716,489,165,136,651,11609.79,3659,1845,1814,3084,915,2959,25,543,382.50,510.00,1746.71,1690.17,Goiana
187.353,2,0.683,535,181,128,615,11028.68,4220,2192,2028,3484,1182,3874,8,214,383.33,532.50,1293.70,2462.37,Goncalves
209.348,10,0.606,925,343,65,298,6742.21,5921,2927,2994,4510,1815,4618,-,1184,155.50,273.67,758.69,1286.83,Gonzaga
866.601,15,0.681,1505,525,289,1795,10514.39,11681,5662,6019,10007,3591,10082,10,1383,250.00,370.00,1134.02,1414.52,Gouveia
2342.325,127,0.727,37723,11444,7923,69834,18311.47,263689,125237,138452,224189,78076,134557,1954,98974,255.00,500.00,1193.56,2228.33,Governador Valadares
3885.294,9,0.604,2433,679,237,1968,23994.19,15024,7727,7297,11436,5000,11830,-,2043,221.67,340.00,1038.84,1412.47,Grao Mogol
193.141,1,0.731,201,44,46,378,16058.66,1373,714,659,1179,349,920,26,358,600.00,500.00,1710.87,1445.57,Grupiara
1075.124,22,0.686,4729,1335,934,7571,16264.90,31262,15201,16061,25833,9682,23788,295,5261,262.00,400.00,995.68,2077.78,Guanhaes
934.345,13,0.679,1800,531,374,2215,12487.61,13872,7281,6591,11846,3443,12414,125,1070,380.25,500.00,1302.93,1756.43,Guape
348.596,9,0.623,1174,297,118,1007,6656.88,10223,5174,5049,8057,2649,9743,7,314,255.00,382.50,1150.06,1659.88,Guaraciaba
390.263,3,0.677,693,183,103,420,6679.63,4718,2378,2340,3667,1447,4108,-,505,255.00,280.50,932.44,1101.52,Guaraciama
294.828,10,0.701,2263,599,490,4749,19904.97,18714,9498,9216,15644,4779,14272,87,3096,365.00,510.00,1283.73,1920.00,Guaranesia
264.193,9,0.677,961,306,305,1610,11310.62,8678,4423,4255,7209,2219,7221,275,822,340.00,510.00,2017.02,1804.87,Guarani
88.655,4,0.652,450,140,93,614,9806.82,3929,1950,1979,3382,1038,2394,101,948,446.67,403.33,1118.95,1463.87,Guarara
2069.790,3,0.690,931,219,169,1185,42721.33,6565,3427,3138,5383,1850,4936,24,1433,453.33,492.00,2198.82,2023.66,GuardaMor
286.398,15,0.751,5911,1824,2134,15625,35494.30,49430,24619,24811,43620,13313,38057,1389,7393,377.50,510.00,1281.19,2406.30,Guaxupe
158.375,4,0.683,858,225,226,1535,15011.70,7206,3638,3568,6048,1862,5516,214,1055,463.33,473.33,1409.66,1667.87,Guidoval
366.833,4,0.693,968,238,157,780,14081.68,7265,3713,3552,6155,2062,6180,67,771,502.50,429.17,1874.34,1768.23,Guimarania
293.578,7,0.674,886,250,230,1183,9327.23,8707,4427,4280,7209,2028,7493,11,951,340.00,510.00,1168.08,1638.68,Guiricema
1849.137,9,0.680,621,160,126,563,17048.98,6137,3237,2900,4977,1324,4907,93,986,425.00,510.00,1552.65,1804.44,Gurinhata
153.950,5,0.657,827,225,124,901,11538.59,6121,3117,3004,4994,1430,5424,53,416,426.00,408.00,1634.49,1412.65,Heliodora
340.579,8,0.654,1278,363,219,842,8068.14,10315,5132,5183,8198,2884,7199,6,2365,278.57,340.00,1163.28,1488.25,Iapu
346.240,2,0.657,661,210,86,582,10411.40,5036,2543,2493,4098,1227,4760,8,210,255.00,300.00,1088.03,1175.44,Ibertioga
2704.132,11,0.718,2913,642,583,3780,29962.99,23218,11858,11360,20228,6051,17573,844,3393,510.00,480.00,3281.38,1887.79,Ibia
874.760,6,0.614,1247,333,98,397,8305.95,7839,4034,3805,5876,2547,6450,11,960,200.00,233.33,768.10,1050.45,Ibiai
353.413,6,0.591,1099,327,75,374,5757.26,6155,3218,2937,4408,1982,5354,6,734,167.50,255.00,744.44,975.75,Ibiracatu
562.095,7,0.706,1592,406,268,1475,32986.22,12176,6364,5812,10228,2956,9825,427,1229,500.00,510.00,1877.50,2072.42,Ibiraci
72.573,28,0.704,22476,6007,1652,18667,10719.87,158954,77839,81115,136228,49899,78461,509,60038,575.00,425.00,2355.90,1812.40,Ibirite
68.316,2,0.674,470,132,62,397,13879.40,3382,1760,1622,2851,775,2484,-,859,350.00,510.00,1155.17,1508.65,Ibitiura de Minas
153.106,1,0.675,407,145,74,360,11977.71,2866,1448,1418,2418,874,2583,9,229,373.33,367.50,1593.67,1367.76,Ibituruna
625.664,6,0.624,1687,524,92,385,5444.01,10746,5567,5179,8416,3572,9290,-,623,203.33,264.29,1148.87,1303.25,Icarai de Minas
110.942,12,0.698,6333,1815,844,7077,21712.32,34851,17520,17331,29737,10743,20971,238,10092,282.40,490.00,1759.23,1971.92,Igarape
218.343,3,0.651,1389,305,341,3264,14600.39,9264,4773,4491,7984,2192,7699,36,1266,403.33,510.00,1534.87,1913.75,Igaratinga
628.200,4,0.707,838,217,224,1569,39189.48,8029,4034,3995,7197,1910,6740,61,1033,400.00,510.00,1619.48,1831.51,Iguatama
105.246,3,0.714,836,234,178,1685,62648.64,5859,2964,2895,5134,1592,4625,228,831,510.00,400.00,1883.43,1711.69,Ijaci
